window,task,label,pred,error,baseline_neg_margin,boundary,tile_phase,top1_prob,label_quantile_in_window,other_patches_mean_boundary
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_58,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-7.48103,0.250,0.02940,0.9994,0.143,0.484
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_59,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,2,2,0,-15.80614,0.000,0.00001,1.0000,0.452,0.028
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_64,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-1.59784,0.125,0.41929,0.8133,0.127,0.423
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_66,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-1.47254,0.500,0.44049,0.8134,0.698,0.341
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_7,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,4,4,0,-1.49072,1.000,0.37341,0.8162,0.992,0.230
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_70,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,4,4,0,-3.37311,0.125,0.02779,0.9622,0.690,0.133
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_73,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,2,2,0,-5.28303,0.000,0.03327,0.9937,0.413,0.052
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_74,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,2,2,0,-11.98260,0.000,0.00886,1.0000,0.294,0.139
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_80,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,4,2,1,-2.48655,0.375,0.06133,0.9122,0.603,0.319
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_81,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,2,0,1,-0.91886,0.500,0.36040,0.7147,0.603,0.460
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_85,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,2,1,-1.10343,0.500,0.34534,0.7143,0.611,0.413
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_88,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,4,4,0,-3.96642,0.500,0.09816,0.9814,0.865,0.230
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_9,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,2,2,0,-12.22127,0.000,0.00010,1.0000,0.397,0.052
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_90,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-13.07531,0.125,0.00000,1.0000,0.397,0.284
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_92,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-6.68240,0.375,0.12444,0.9987,0.492,0.395
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_95,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,2,2,0,-1.28501,0.500,0.22834,0.6831,0.833,0.226
spatial_split\task_d7e1febf-3c18-4074-8cc4-399bc2762421_point_31,spatial_split\task_d7e1febf-3c18-4074-8cc4-399bc2762421,2,2,0,-8.39382,0.000,0.01245,0.9997,0.500,0.000
spatial_split\task_d7e1febf-3c18-4074-8cc4-399bc2762421_point_5,spatial_split\task_d7e1febf-3c18-4074-8cc4-399bc2762421,2,2,0,-4.44338,0.000,0.00914,0.9884,0.452,0.028
spatial_split\task_d7e1febf-3c18-4074-8cc4-399bc2762421_point_6,spatial_split\task_d7e1febf-3c18-4074-8cc4-399bc2762421,4,4,0,-10.55143,0.000,0.00012,1.0000,0.270,0.190
spatial_split\task_d7e1febf-3c18-4074-8cc4-399bc2762421_point_8,spatial_split\task_d7e1febf-3c18-4074-8cc4-399bc2762421,4,4,0,-10.30547,0.000,0.00004,1.0000,0.468,0.020
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_0,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,2,2,0,-3.40139,0.125,0.03404,0.9661,0.198,0.359
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_10,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,2,4,1,-2.80607,0.625,0.28406,0.9430,0.881,0.315
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_13,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,2,2,0,-3.61788,0.375,0.62617,0.9687,0.611,0.375
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_14,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,1,1,0,-25.30304,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_17,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,0,0,-0.16774,1.000,0.36601,0.5395,1.000,0.393
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_2,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,2,6,1,-0.87260,0.750,0.33902,0.5598,0.754,0.520
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_21,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,0,0,-2.03712,0.875,0.35133,0.8765,0.976,0.371
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_22,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,0,0,-4.26747,0.375,0.01735,0.9853,0.532,0.339
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_25,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,2,4,1,-0.40180,0.625,0.24028,0.5961,0.762,0.403
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_3,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,6,1,-0.33297,0.000,0.40423,0.4683,0.111,0.278
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_30,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,6,6,0,-6.88152,0.125,0.00048,0.9990,0.698,0.121
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_39,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,0,0,-4.41186,1.000,0.19112,0.9769,0.992,0.425
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_40,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,1,1,0,-23.11134,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_41,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,0,0,-4.35322,0.625,0.33599,0.9792,0.833,0.367
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_45,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,4,2,1,-4.52555,0.125,0.08790,0.9893,0.500,0.196
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_48,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,2,2,0,-0.38007,0.875,0.42123,0.4551,0.889,0.494
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_50,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,2,2,0,-1.71885,0.625,0.12878,0.8232,0.595,0.542
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_55,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,0,0,-1.65580,0.625,0.32586,0.8343,0.857,0.323
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_57,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,0,0,-3.40774,0.625,0.56490,0.9644,0.849,0.371
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_60,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,2,1,-0.74936,0.000,0.25653,0.6786,0.222,0.187
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_62,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,0,2,1,-4.68067,0.125,0.00637,0.9878,0.405,0.252
spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac_point_63,spatial_split\task_dd115912-0e85-4035-82a2-73a21abf0bac,2,2,0,-3.38828,0.250,0.31525,0.9632,0.611,0.262
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_14,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,4,4,0,-13.52102,0.000,0.00006,1.0000,0.437,0.052
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_15,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,2,0,1,-1.79217,0.875,0.30354,0.8571,0.968,0.391
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_22,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,6,6,0,-13.70187,0.000,0.00001,1.0000,0.468,0.020
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_27,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,6,6,0,-4.46155,0.000,0.00933,0.9886,0.087,0.421
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_3,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,4,4,0,-5.40809,0.250,0.00228,0.9936,0.563,0.274
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_31,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,6,6,0,-15.34859,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_39,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,6,6,0,-3.27660,0.000,0.02569,0.9636,0.095,0.286
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_40,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,2,2,0,-7.02048,0.000,0.08349,0.9991,0.063,0.298
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_6,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,4,4,0,-1.66429,0.000,0.38960,0.8355,0.127,0.266
spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51_point_8,spatial_split\task_e318aeda-1e00-46bd-8cc6-031db2328f51,7,7,0,-0.02694,0.375,0.47416,0.5067,0.794,0.224
spatial_split\task_e5ce4657-b0e3-4126-89cc-ded23616f48e_point_11,spatial_split\task_e5ce4657-b0e3-4126-89cc-ded23616f48e,5,5,0,-10.17139,0.000,0.00121,1.0000,0.278,0.135
spatial_split\task_e5ce4657-b0e3-4126-89cc-ded23616f48e_point_17,spatial_split\task_e5ce4657-b0e3-4126-89cc-ded23616f48e,4,4,0,-5.95397,0.000,0.00267,0.9967,0.294,0.159
spatial_split\task_e5ce4657-b0e3-4126-89cc-ded23616f48e_point_23,spatial_split\task_e5ce4657-b0e3-4126-89cc-ded23616f48e,2,2,0,-3.78383,0.125,0.01768,0.9738,0.698,0.141
spatial_split\task_e5ce4657-b0e3-4126-89cc-ded23616f48e_point_40,spatial_split\task_e5ce4657-b0e3-4126-89cc-ded23616f48e,2,2,0,-5.13381,0.125,0.00453,0.9937,0.262,0.327
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_10,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,2,2,0,-6.38985,0.125,0.00285,0.9977,0.444,0.244
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_11,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,2,2,0,-9.32206,0.000,0.00310,0.9999,0.254,0.167
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_22,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,0,0,0,-4.15026,0.875,0.57222,0.9845,0.984,0.089
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_23,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,2,2,0,-2.40879,0.125,0.25246,0.9175,0.603,0.161
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_26,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,2,2,0,-0.63011,0.875,0.36328,0.6516,0.984,0.367
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_27,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,2,2,0,-1.89628,0.000,0.18892,0.8607,0.230,0.163
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_29,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,0,0,0,-4.89180,0.750,0.37955,0.9925,0.873,0.413
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_30,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,4,4,0,-8.02255,0.125,0.00346,0.9997,0.167,0.391
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_34,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,2,2,0,-7.42068,0.000,0.00044,0.9994,0.500,0.000
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_35,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,4,4,0,-8.78633,0.000,0.01760,0.9998,0.143,0.270
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_39,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,2,2,0,-8.12689,0.000,0.00065,0.9996,0.500,0.000
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_43,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,4,4,0,-2.18137,0.000,0.13092,0.8966,0.119,0.298
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_44,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,0,2,1,-3.19001,0.125,0.03072,0.9605,0.333,0.308
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_45,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,4,4,0,-1.40042,0.375,0.45110,0.7207,0.524,0.415
spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0_point_5,spatial_split\task_e665b4ff-778e-4255-9b0c-aa89a0e7eed0,4,4,0,-1.30459,0.250,0.38620,0.7850,0.341,0.421
spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c_point_16,spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c,8,8,0,-16.90670,0.000,0.00000,1.0000,0.468,0.020
spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c_point_19,spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c,4,4,0,-7.50069,0.000,0.03796,0.9993,0.206,0.234
spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c_point_21,spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c,4,2,1,-0.57453,0.375,0.37274,0.4927,0.563,0.395
spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c_point_25,spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c,2,2,0,-7.26151,0.250,0.00083,0.9989,0.548,0.266
spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c_point_33,spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c,5,5,0,-9.02225,0.125,0.00009,0.9999,0.175,0.379
spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c_point_37,spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c,8,8,0,-8.86038,0.000,0.15046,0.9997,0.238,0.179
spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c_point_38,spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c,5,5,0,-4.74499,0.000,0.00598,0.9912,0.357,0.063
spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c_point_52,spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c,8,5,1,-1.67418,1.000,0.67273,0.7881,0.976,0.242
spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c_point_8,spatial_split\task_e8e257cf-6745-4563-8cf9-9e6d3b8eef5c,8,8,0,-14.16217,0.250,0.01310,1.0000,0.437,0.357
spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4_point_1,spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4,4,4,0,-2.61608,0.000,0.03893,0.9313,0.159,0.210
spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4_point_10,spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4,5,5,0,-5.18305,0.000,0.03110,0.9943,0.008,0.484
spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4_point_13,spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4,5,5,0,-5.56781,0.000,0.03973,0.9962,0.087,0.306
spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4_point_18,spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4,4,4,0,-7.94420,0.000,0.00021,0.9996,0.151,0.238
spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4_point_27,spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4,5,5,0,-8.06244,0.000,0.00031,0.9996,0.500,0.000
spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4_point_37,spatial_split\task_f1f0753e-b731-439c-b799-47b5ece62fa4,5,5,0,-4.45426,0.750,0.00573,0.9884,0.968,0.151
spatial_split\task_fcb73770-53a9-42b0-97f8-fb00e65420b6_point_14,spatial_split\task_fcb73770-53a9-42b0-97f8-fb00e65420b6,5,5,0,-13.50078,0.000,0.00055,1.0000,0.405,0.067
spatial_split\task_fcb73770-53a9-42b0-97f8-fb00e65420b6_point_17,spatial_split\task_fcb73770-53a9-42b0-97f8-fb00e65420b6,2,5,1,-3.73787,0.875,0.39927,0.9677,0.937,0.419
spatial_split\task_fcb73770-53a9-42b0-97f8-fb00e65420b6_point_6,spatial_split\task_fcb73770-53a9-42b0-97f8-fb00e65420b6,5,5,0,-11.96196,0.000,0.00001,1.0000,0.437,0.040
